branch_n,bus1,bus2,p1,q1,p2,q2
1.0,514.0,309.0,-63.899334433131074,90.88128322445165,63.96988092451325,-90.15700591293736
2.0,514.0,876.0,63.89933443313143,-72.18548410197928,-63.85506678594438,72.84064528035589
3.0,216.0,312.0,-187.24194150864872,11.212717565404239,187.59291137909028,-9.159379818706311
4.0,216.0,323.0,187.2419415086502,-9.78603791223988,-186.9663206280493,11.5885525891878
5.0,351.0,711.0,865.3531825354767,3.2532412354973257,-856.0818206323443,98.08339271272125
6.0,351.0,453.0,-865.3531825354762,46.077200392927935,874.8457520993942,63.93257838891401
7.0,427.0,542.0,277.69447046978206,63.97658877125156,-277.645273645216,-63.57598605682373
8.0,427.0,470.0,-277.6944704697729,-62.54381602582709,277.7365450453929,62.93651206476595
9.0,596.0,743.0,4.188183050030746,3.1532209702846465,-4.187292999774848,-3.148819885710675
10.0,596.0,318.0,-4.188183050032011,-0.27833718476833524,4.188763836794337,0.28109903111471624
11.0,448.0,743.0,4.083984412453298,3.2023544000705693,-4.0830782829714645,-3.198223553967444
12.0,448.0,318.0,-4.083984412452215,-0.4102681751863969,4.084489289352585,0.41319561404189453
13.0,531.0,920.0,-572.5134766725365,123.25642975064812,576.6722924340999,-62.93722791758133
14.0,531.0,835.0,572.5134766725315,-73.61312326987708,-568.5049858636139,132.37250838155
15.0,165.0,118.0,-668.2430377881722,107.82170061095107,673.8853103256321,-29.350710243815133
16.0,165.0,344.0,668.2430377881622,-56.3693144917701,-662.6621981322575,131.56154344346237
17.0,508.0,180.0,456.336871867888,444.26336237108126,-453.81300677324424,-393.35894484680085
18.0,508.0,639.0,-456.33687186788745,72.20845327717286,457.70594497710545,-52.305808376016216
19.0,520.0,783.0,165.0349307998502,-5.134284294072498,-164.41439932909938,8.862731859855726
20.0,520.0,777.0,-165.0349307998491,8.078966354283962,165.6060552223546,-3.8899306522891135
21.0,354.0,127.0,-28.36411213056677,123.22947674246323,28.4034708040377,-122.85921366615835
22.0,354.0,761.0,28.364112130563797,-113.7192340361314,-28.330300189473718,114.04357821181452
23.0,261.0,127.0,344.795725957954,-92.40453972893728,-344.4090293970968,95.94339916468722
24.0,261.0,905.0,-344.7957259579699,102.72399130101057,345.1409203407251,-99.01017587274245
25.0,184.0,654.0,11.288372969959648,40.94180999072344,-11.283562080721046,-40.91900404516142
26.0,184.0,762.0,-11.288372969962605,-13.616063172668674,11.2890052623781,13.623656456012773
27.0,213.0,654.0,35.39362842343296,23.45666778641376,-35.38881792574014,-23.43434641132356
28.0,213.0,878.0,-35.39362842343148,4.401738266134963,35.39631788939157,-4.371555176538132
29.0,661.0,654.0,59.569671845209314,-11.237102002787703,-59.54110207415513,11.471163504047846
30.0,661.0,165.0,-59.569671845208575,12.362117335033494,59.60316991833788,-12.161607928974181
31.0,577.0,654.0,-8.081029152737289,46.86518402505498,8.083951691070622,-46.84013369648063
32.0,577.0,784.0,8.081029152731373,-46.47515634494442,-8.076695371278293,46.50676624854035
33.0,521.0,654.0,-4.092979388287741,20.115091271919628,4.09453778991014,-20.096044572780254
34.0,521.0,784.0,4.092979388290701,-19.160954523079976,-4.0922039839402835,19.166300918383385
35.0,807.0,654.0,-90.44806598936347,-12.975953090036677,90.5044339591244,13.326919091056165
36.0,807.0,275.0,90.44806598936458,13.796597562545495,-90.3999999999985,-13.422923258121678
37.0,297.0,606.0,-89.91919327606966,125.72416021304247,90.0468871101451,-124.72471039633601
38.0,297.0,344.0,89.91919327607071,-114.48669460806164,-89.84513423405856,115.5801545812844
39.0,756.0,606.0,339.5989404110601,126.293863223061,-338.7327065579196,-116.99184430779646
40.0,756.0,882.0,-339.5989404110601,-106.06044741840743,340.3570561267284,116.41707905957763
41.0,674.0,886.0,-57.80292356747784,-4.6283910434586,57.8230090858089,4.776322480041325
42.0,674.0,507.0,57.80292356747528,5.978418748293344,-57.78374505964151,-5.815161300151443
43.0,495.0,478.0,-140.28503162498055,-35.88693614844668,140.40443642060188,36.4597060274348
44.0,495.0,766.0,140.28503162498654,36.999552615336796,-140.1616064807563,-36.437677907140994
45.0,861.0,677.0,-77.18465643599912,-66.00170777849847,77.23649374331771,66.5181247268677
46.0,861.0,819.0,77.18465643599804,80.02659665274965,-77.11900875335968,-79.40528822778833
47.0,310.0,478.0,-116.7349499529462,-49.562603315690794,116.99442513424722,50.70414996053283
48.0,310.0,715.0,116.73494995294772,52.519275145037206,-116.49248731523664,-51.25335876886753
49.0,543.0,677.0,297.5498456149387,79.66936539612269,-297.15207434584494,-74.85191335930924
50.0,543.0,905.0,-297.54984561493984,-67.22847429848744,298.0006391757785,71.35496920156076
51.0,228.0,687.0,-1.2949353668088093,3.3964894601292444,1.2965645217966517,-3.3917488218084415
52.0,228.0,565.0,1.2949353668085826,-2.6142473215169004,-1.2922916622110823,2.624284536860151
53.0,474.0,687.0,-7.0392719248702065,6.073006884523076,7.066454231947862,-6.0153118151007
54.0,474.0,804.0,7.039271924870297,-5.059766701503428,-6.9961463893061095,5.140922596580326
55.0,791.0,747.0,-105.87352658731857,-186.88952996114824,105.91976921561785,187.34775236888615
56.0,791.0,889.0,105.8735265873156,189.89663880906122,-105.82614832550061,-189.43577753501387
57.0,622.0,768.0,269.2644614979328,90.68854311526009,-268.9313143803195,-87.83402876695173
58.0,622.0,150.0,-269.26446149791974,-89.79487190875474,269.69647107573417,92.5275668842832
59.0,711.0,656.0,3.769275132407245,77.74474550352487,-3.6824122202603977,-76.97051076057312
60.0,711.0,434.0,-3.769275132407245,-29.684746297242988,3.7815933437181766,29.839317587365333
61.0,346.0,885.0,14.465467475311526,-4.147244672483995,-14.45226394894204,4.18590586911556
62.0,346.0,199.0,-14.465467475311526,4.439625947207746,14.498719627915497,-4.359981047579805
63.0,755.0,705.0,280.6263053933856,-23.306399032481835,-277.9091420513056,38.5268728337037
64.0,755.0,432.0,-280.6263053933854,26.68984762190721,284.3467131806437,-12.5209912720381
65.0,106.0,286.0,149.2383887668569,-52.06922197800851,-146.60810745107534,63.90700344095931
66.0,106.0,258.0,-149.23838876685562,61.412767308739205,152.03353192664014,-49.32826967731896
67.0,394.0,286.0,154.0465500261768,-56.917871919630414,-151.09663182402997,69.16636324126617
68.0,394.0,258.0,-154.04655002617545,66.61425676409205,157.1829546714928,-54.100449160364526
69.0,132.0,296.0,-239.3236082163694,36.83375764372994,239.65607768034877,-33.11945035084551
70.0,132.0,439.0,239.32360821637033,-12.691520043394869,-238.8706960446619,16.3148174170466
71.0,504.0,693.0,-28.430991839979807,-14.614899613712614,28.4353861595174,14.665708933357838
72.0,504.0,786.0,28.43099183998394,28.02117263379418,-28.42428239040069,-27.940373730304437
73.0,688.0,693.0,-30.956157905818227,-15.917612285501793,30.961151278416647,15.974493312481982
74.0,688.0,786.0,30.956157905820103,29.758508018266678,-30.947568027513146,-29.673600375036024
75.0,145.0,450.0,-41.60644758940407,-3.2871668772664924,41.68294637615364,3.4738029583668437
76.0,145.0,665.0,41.606447589402826,3.65618270292396,-41.058151983081444,-2.56030862812081
77.0,649.0,494.0,-512.254409173522,8.360309321405179,512.9389058397454,-1.3265159926228076
78.0,649.0,608.0,512.2544091735191,0.7582785569265207,-511.54649618394234,6.108477442040141
79.0,138.0,901.0,-106.31252134172897,167.96017608955657,106.81344718931936,-163.01878498655222
80.0,138.0,314.0,106.31252134172848,-116.21812712486887,-106.0122090534932,119.30241549052698
81.0,869.0,814.0,-101.80357286523214,-60.887001656249495,101.82802608409199,61.025907514879805
82.0,869.0,619.0,101.80357286522931,61.421866832299564,-101.77711619834568,-61.284931776260024
83.0,566.0,424.0,-930.8683698222504,67.6716289182977,932.1304266514975,-53.15797538194453
84.0,566.0,723.0,930.8683698222517,-60.460222721367394,-929.1348824242167,83.0743537775478
85.0,385.0,649.0,-898.0566548461311,0.534237810388605,899.1273524221159,12.81379197019456
86.0,385.0,477.0,898.0566548461372,6.685691116098383,-896.4862119242323,12.302391485120815
87.0,674.0,888.0,-53.73129222230673,42.58598968783072,53.78553938789066,-41.90200368698504
88.0,674.0,311.0,53.73129222230638,36.12128928346409,-53.63594405174184,-35.11172041866186
89.0,812.0,517.0,899.1499637860582,98.48488469441375,-894.3039744793913,-22.141914694004747
90.0,812.0,600.0,-899.1499637860636,-72.24547894935148,904.5625827559977,146.6875261522738
91.0,893.0,517.0,937.557516110452,94.36488311675485,-931.493443598877,-14.885106065043594
92.0,893.0,600.0,-937.5575161104576,-65.64770012652937,943.6706420213947,143.10744028746612
93.0,714.0,738.0,-8.388748935250425e-14,0.0,-8.388748935250425e-14,0.0
94.0,400.0,885.0,531.8160729177785,60.35307150353443,-531.0534129462357,-53.5154303793665
95.0,400.0,578.0,-531.816072917771,-48.99167392451836,532.3921335268279,56.92559958559189
96.0,699.0,376.0,192.79410642314764,50.42294702414868,-192.42770930696008,-48.166307185537335
97.0,699.0,910.0,-192.79410642317094,-48.93806917315244,193.20659695657503,51.33635484080765
98.0,121.0,825.0,265.3305674292611,56.05823198456509,-264.6045173074202,-48.92618578770931
99.0,121.0,733.0,-265.33056742926175,-9.73349582181371,266.2031953683888,19.41270633679735
100.0,864.0,106.0,288.4685215866835,24.088244082523154,-288.170927110358,-21.517534350877796
101.0,864.0,588.0,-288.4685215866833,18.63076383464569,289.9523540329355,-3.836638636482883
102.0,,641.0,471.9960912266065,175.3750953691278,-471.1728108894603,-165.19843564608914
103.0,,164.0,-471.9960912265626,-164.9759299153931,472.379435259429,170.6133421634721
104.0,437.0,641.0,147.16424111705626,193.73133368693186,-146.97192162993755,-191.40213100958144
105.0,437.0,348.0,-147.16424111699567,-183.12822527115964,147.2489275244165,184.39852138245695
106.0,188.0,320.0,255.47122866728014,-34.934739954385904,-254.92593684654094,40.58646247143474
107.0,188.0,679.0,-255.47122866728026,69.9093554229238,256.38222505531394,-58.22822410529873
108.0,531.0,320.0,250.94082121704582,-33.5454555147253,-250.4260612098666,39.09829218791626
109.0,531.0,679.0,-250.940821217046,67.78152298831895,251.80093142053343,-56.31723530961016
110.0,288.0,320.0,197.86962363890723,71.21615068127424,-197.47346936986096,-66.61409688291398
111.0,288.0,258.0,-197.86962363890711,-41.67667157198682,198.21878926338104,45.21625251027291
112.0,371.0,484.0,-118.22762750566358,-35.127292648710096,118.86627386589967,37.927824879448394
113.0,371.0,368.0,118.22762750566311,40.355249672155985,-117.19740800921687,-34.70493486695051
114.0,606.0,864.0,-324.6415963610087,8.191643919239024,325.02903608330774,-3.360507790167723
115.0,606.0,733.0,324.6415963610079,10.52096595728194,-324.36473932086597,-7.111669262943976
116.0,537.0,102.0,-23.448731340127164,-32.44141927652671,23.487916465677692,32.64320015291604
117.0,537.0,352.0,23.4487313401268,35.60043466824895,-23.388777523395635,-35.26684897566739
118.0,687.0,343.0,-10.436910320208925,-66.17365356713984,10.542981018109671,66.77571084841983
119.0,687.0,504.0,10.43691032020783,70.05562227224054,-10.30079226562409,-68.93158119431419
120.0,669.0,674.0,532.9619685978182,-107.67095481352227,-530.6622487101781,132.65427541106763
121.0,669.0,287.0,-532.9619685978189,131.46193815409805,535.4923959142704,-108.10209861170085
122.0,205.0,752.0,-96.26062393985382,18.578845366518465,96.5572841267547,-16.73356539071081
123.0,205.0,304.0,96.2606239398541,-15.36273243352718,-95.91000000000004,17.021857708006333
124.0,289.0,273.0,-3.4150371386342186,21.961693666375435,3.429258944524961,-21.887270042645824
125.0,289.0,157.0,3.415037138633777,-19.171111405832363,-3.398215037244761,19.26503161199358
126.0,152.0,868.0,-720.0482570258972,15.77143867445043,721.0603078438928,-6.662981312506106
127.0,152.0,839.0,720.0482570258959,-8.37033675499973,-718.7836292624486,21.57305060538225
128.0,736.0,868.0,-726.4537337528959,18.084785231528244,727.4839672193809,-9.018730726430011
129.0,736.0,139.0,726.4537337528969,-10.550073025426594,-725.1664680853097,23.68018283484293
130.0,101.0,617.0,-29.372510238854012,3.5113367962626976,29.477619316473774,-3.1122707570901893
131.0,101.0,717.0,29.372510238853643,-3.189037719259666,-29.284528186174995,3.4217002502071083
132.0,260.0,745.0,1037.6564867551772,-65.67441140986217,-1033.4083300273996,106.99739048914702
133.0,260.0,133.0,-1037.6564867551767,78.59556742880717,1041.1382449026316,-32.655702983224025
134.0,473.0,523.0,864.1321974960543,-178.48283089693982,-859.4752984069826,221.3584190618318
135.0,473.0,314.0,-864.1321974960531,191.6609730387412,868.4950945039022,-144.0730778975908
136.0,294.0,142.0,46.652052091992985,-16.040810818842317,-46.60755991712312,16.48508462323929
137.0,294.0,154.0,-46.652052091994584,56.52744694385336,46.688759468974474,-56.111747817546956
138.0,377.0,918.0,-415.5328613003246,36.026615459168404,418.02843020017406,-5.599275394548291
