1,1,378.4,98.5,0,16.61,0,1.0076,-36.572,220,6,1.1,0.9
2,2,0,0,0,0,0,1.0317,-8.4348,154,1,1.1,0.9
3,1,151,48.8,0,4.69,0,1.0178,-21.085,220,5,1.1,0.9
4,1,171.41,23.4,0,2.1,0,1.0205,-6.8924,220,5,1.1,0.9
5,1,45.95,14,0,13.34,0,0.98994,-48.513,220,6,1.1,0.9
6,2,0,0,0,0,0,1.0385,-41.38,380,6,1.1,0.9
7,1,31.03,10.3,0,0.65,0,0.96917,-33.32,110,21,1.1,0.9
8,2,0,0,0,0,0,1.023,-17.186,154,1,1.1,0.9
9,1,14.3,2,0,1.91,0,1.0327,-0.058126,154,1,1.1,0.9
10,1,134,24.7,0,12.44,0,1.0334,-23.738,220,5,1.1,0.9
11,1,0,0,0,0,0,0.96511,-28.185,150,9,1.1,0.9
12,1,-6.11,2,0,0.47,0,1.0345,-23.128,150,9,1.1,0.9
13,1,-22.74,-8.32,0,6.5,0,1.0139,-47.308,220,6,1.1,0.9
14,1,13.5,14.8,0,132.44,0,1.1415,-18.291,380,9,1.3,0.7
15,1,59.67,26.7,0,12.84,0,1.0216,-48.549,220,4,1.1,0.9
16,1,30.6,4.3,0,5.15,0,1.0324,9.6564,154,1,1.1,0.9
17,1,67.68,12.1,0,2.18,0,1.0106,7.6754,220,3,1.1,0.9
18,2,0,0,0,0,0,1.0267,19.07,380,3,1.1,0.9
19,1,25.33,7.5,0,2.39,0,1.0051,-35.577,110,12,1.1,0.9
20,1,1.4,0.2,0,4.93,0,1.0245,10.269,154,1,1.1,0.9
21,1,161.2,39.3,0,30.71,0,1.0313,-21.346,220,5,1.1,0.9
22,1,0,-0,0,0.85,0,1.0317,-17.982,220,5,1.1,0.9
23,1,19.62,7.1,0,1.15,0,1.0254,-23.45,110,19,1.1,0.9
24,1,17.22,5.7,0,1.22,0,0.96107,-29.643,110,21,1.1,0.9
25,2,0,0,0,0,0,1.0285,13.92,220,3,1.1,0.9
26,1,167.3,54.8,0,110.54,0,1.0296,-3.1858,380,5,1.1,0.9
27,1,-0,-0,0,14.82,0,1.0855,15.049,380,13,1.1,0.9
28,1,0,0,0,0,0,1.0049,-28.621,150,9,1.1,0.9
29,1,152.9,49.4,0,27.65,0,1.0048,-13.74,380,5,1.1,0.9
30,1,-0,0,0,0.56,0,1.0235,-26.464,150,9,1.1,0.9
31,1,69.68,43.2,0,6.3,0,0.90548,-32.223,150,9,1.3,0.7
32,2,0,0,0,0,0,1.0032,-42.677,220,4,1.1,0.9
33,2,0,0,0,0,0,1.0265,-38.3,220,4,1.1,0.9
34,1,13.52,4.9,0,1.8,0,1.0285,-22.061,110,19,1.1,0.9
35,1,10.51,3.5,0,0.31,0,1.0265,-33.872,110,12,1.1,0.9
36,1,-0,-0,0.12,15.34,0,1.0455,-18.806,220,19,1.1,0.9
37,1,9.21,2.6,0,2,0,0.9722,-27.238,110,18,1.1,0.9
38,1,42.75,12.8,0,13.3,0,1.0228,27.512,220,8,1.1,0.9
39,2,0,0,0,0,0,1.0035,-37.973,150,10,1.1,0.9
40,1,16.02,4.54,0,0.1,0,0.99907,-28.828,110,23,1.1,0.9
41,1,27.9,4,0,4.23,0,1.0086,-5.2358,154,1,1.1,0.9
42,1,20.82,7.9,0,26.89,0,1.0424,-48.837,380,4,1.1,0.9
43,1,12.6,1.8,0,2.03,0,1.0287,-12.314,154,1,1.1,0.9
44,1,-0,0,0,7.27,0,1.0407,-21.615,220,5,1.1,0.9
45,1,10.11,3.7,0,0.81,0,1.0481,-22.686,110,19,1.1,0.9
46,1,10.01,2.7,0,1.14,0,0.95846,-27.054,110,18,1.1,0.9
47,1,6.31,0,0,0.67,0,0.98586,-25.554,110,18,1.1,0.9
48,1,2.9,0.9,0,0.6,0,1.0455,-23.684,110,15,1.1,0.9
49,2,0,0,0,0,0,1.0203,-35.271,220,6,1.1,0.9
50,1,48.8,6.9,0,8.71,0,1.025,-0.86766,154,1,1.1,0.9
51,2,0,0,0,0,0,1.0067,-47.852,220,4,1.1,0.9
52,1,127.6,31.8,0,20.51,0,1.0177,0.95691,150,8,1.1,0.9
